,Parkhaus,Art,Adress,Betriebszeit,Weitere Datei,Freie Plätz
0,Am Dom,Tiefgarage,Kurt-Hackenberg-Platz 250667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,40 MeterStellplätze: 520 Weitere Informationen",383
1,Am Gürzenich,Tiefgarage,Quatermarkt 550667 Köln,"Montag bis Donnerstag, 7 bis 22 UhrFreitag, 7 bis 24 UhrSamstag, 0 bis 24 UhrSonntag, 0 bis 22 Uhr","Einfahrtshöhe: 1,80 Meter Einfahrtbreite: 2,20 MeterStellplätze: 315 Weitere Informationen",195
2,An Farina,Tiefgarage,Laurenzplatz 450667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 304 Weitere Informationen",148
3,Galeria Karstadt Kaufhof,Parkhaus,Cäcilienstraße/Hohe Straße 41-5350667 Köln,"Parkhaus: A Montag bis Samstag, 7 bis 19:30 UhrParkhaus B: Montag bis Samstag, 7 bis 20:30 Uhr Sonntag und Feiertage, geschlossen","Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 1.111 Weitere Informationen",860
4,Groß Sankt Martin,Tiefgarage,Große Neugasse 450667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,25 MeterStellplätze: 213 Weitere Informationen",133
5,Hauptbahnhof,Tiefgarage,Breslauer Platz 1/Am Alten Ufer 50668 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 395 Weitere Informationen",334
6,Heumarkt,Tiefgarage,Markmannsgasse 350667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,40 MeterStellplätze: 429 Weitere Informationen",282
7,Hohe Straße,Parkhaus,Marspfortengasse 1050667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 300",15
8,Maritim,Tiefgarage,Heumarkt 2050667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 600",85
9,Philharmonie,Tiefgarage,Bischofsgartenstraße 150667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,25 MeterStellplätze: 372 Weitere Informationen",302
10,REWE,Parkhaus,Große Sandkaul 50667 Köln,"Montag bis Sonntag,durchgehend geöffnet","Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2,80 MeterStellplätze: 217",161
11,Rhein Triadem,Parkhaus,Am Alten Ufer 3550668 Köln,"Montag bis Sonntag, durchgehend geöffnet",Einfahrtshöhe: 2 MeterStellplätze: 264,263
12,Rheinauhafen,Tiefgarage,Harry-Blum-Platz 250678 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 1.380 Weitere Informationen",140
13,Am Neumarkt,Parkhaus,Lungengasse 3350676 Köln,"Montag bis Samstag, 7 bis 23 UhrSonntag, geschlossen","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,70 MeterStellplätze: 333 Weitere Informationen",225
14,Bazaar de Cologne,Tiefgarage,Große Brinkgasse 5 und 1150672 Köln,"Montag bis Freitag, 6 bis 2 Uhr des FolgetagesSamstag und Sonntag, 8 bis 2 Uhr des Folgetages","Einfahrtshöhe: P1 – 1,90 Meter, P2 – 2 MeterStellplätze: 300 Weitere Informationen",132
15,Brückenstraße,Parkhaus,Ludwigstraße 1-350667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 756 Weitere Informationen",518
16,Cäcilienstraße,Tiefgarage,Cäcilienstraße 2950667 Köln,"Montag bis Sonntag, 7 bis 21 Uhr","Einfahrtshöhe: 1,90 MeterStellplätze: 339 Weitere Informationen",339
17,Karstadt,Parkhaus,Richmodstraße 50667 Köln,"Montag bis Donnerstag, 7 bis 21:30 UhrFreitag und Samstag, 7 bis 22:30 UhrSonntag und Feiertag geschlossen","Einfahrtshöhe: 1,80 MeterStellplätze: 445 Weitere Informationen",325
18,Kreissparkasse,Tiefgarage,Richmodstraße 1350667 Köln,"Montag bis Freitag, 7:30 bis 21 Uhr Samstag, 7:30 bis 20 Uhr Sonntag und Feiertag geschlossen","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite 4,00 MeterStellplätze: 180 Weitere Informationen",150
19,Lungengasse,Parkhaus,Lungengasse 3750676 Köln,"Montag bis Sonntag, 0 bis 24 Uhr",Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2 MeterStellplätze: 250 Weitere Informationen,227
20,Opern Passagen,Parkhaus,Schwertnergasse 150667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 2,20 Meter Einfahrtsbreite: 2,85 MeterStellplätze: 550 Weitere Informationen",0
21,Quincy/Breite Straße (ehemals DuMont Carré),Tiefgarage,Neven-DuMont-Straße 150667 Köln,"Montag bis Samstag, 7 bis 22 Uhr Sonntag, 9 bis 18 UhrFeiertag, geschlossenAusfahrt jederzeit möglich",Einfahrtshöhe: 2 Meter Einfahrtsbreite: 3 MeterStellplätze: 648 Weitere Informationen,363
22,Schildergasse,Tiefgarage,Cäcilienstraße 3250667 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 2,10 MeterStellplätze: 362 Weitere Informationen",296
23,Theater,Parkhaus,Krebsgasse 150667 Köln,"Montag bis Samstag, 7 bis 24 UhrSonn- und Feiertags geschlossen","Einfahrtshöhe: 2,08 MeterStellplätze: circa 470 Weitere Informationen",334
24,Wolfsstraße,Parkhaus,Wolfsstraße 6-1450676 Köln,"Montag bis Sonntag, durchgehend geöffnet",Einfahrtshöhe: 2 MeterStellplätze: 380,315
25,Am Friesenplatz (Alte Wallgasse),Parkhaus,Alte Wallgasse 31/Magnusstraße 20 50672 Köln,"Montag bis Sonntag, durchgehend geöffnet",Einfahrtshöhe: 2 MeterEinfahrtsbreite: 2 MeterStellplätze: 263 Weitere Informationen,198
26,Kaiser-Wilhelm-Ring,Tiefgarage,Kaiser-Wilhelm-Ring 2650672 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 600 Weitere Informationen",374
27,Klapperhof,Tiefgarage,Im Klapperhof 1350670 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2 MeterStellplätze: 459 Weitere Informationen",200
28,Maastrichter Straße,Parkhaus,Maastrichter Straße 1050672 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,60 MeterStellplätze: 684 Weitere Informationen",268
29,Mediapark,Tiefgarage,Im Mediapark 550670 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 1.526 Weitere Informationen",312
30,Ring Karree,Tiefgarage,Im Klapperhof 4950670 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2,20 MeterStellplätze: 483",158
31,Rudolfplatz,Tiefgarage,Habsburgerring 9-1350674 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,80 Meter Einfahrtsbreite: 2,80 MeterStellplätze: 400 Weitere Informationen",180
32,Sparkasse KölnBonn,Tiefgarage,Schaafenstraße 5650676 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 240",0
33,Köln Arcaden,Parkhaus/Tiefgarage,Barcelona Allee 651103 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 2,10 Meter Einfahrtsbreite: 2,20 MeterStellplätze: 1.800 Weitere Informationen",1344
34,LANXESS arena ,Parkhaus,Opladener Straße 50679 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 1.748 Weitere Informationen",11596
35,LANXESS arena ,Tiefgarage,Opladener Straße 50679 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 266 Weitere Informationen",2119
36,LANXESS arena ,Tiefgarage,Gummersbacher Straße 50679 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 309 Weitere Informationen",4306
37,Stadion P (P+R),P+R-Anlage,Aachener Straße 100350933 Köln,"Montag bis Freitag, 6 bis 24 UhrSamstag, 7 Uhr bis eine Stunde nach GeschäftsschlussSonntag, 6 bis 22 Uhr",Einfahrtshöhe: 2 Meter Einfahrtsbreite: 3 MeterStellplätze: 560,2
38,Stadion P,Parkplatz,Alter Militärring 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 550,152
39,Stadion P,Parkplatz,Willi-Schwarz-Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 1.000,3170
40,Stadion P,Parkplatz,Walter-Binder-Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 550,4178
41,Stadion P,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 1.000,61000
42,Stadion P,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 1.000,7480
43,Stadion P Bus,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 80,8
44,Stadion P Pkw,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 650,8
45,Am Zoo,Parkhaus,Riehler Straße 19050735 Köln,"Montag bis Freitag, 6 bis 22 Uhr Samstag und Sonntag, 9 bis 18:30 Uhr","Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2,70 MeterStellplätze: 392 Weitere Informationen",0
46,Marsdorf/Haus Vorst,P+R-Anlage,Emmy-Noether-Straße 50858 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 621",609
